receipt_no,sale_datetime,loyalty_card_no,store_location,country,item_code,department,qty,item_price,tender_type,register_no,cashier_id
POS-50001,2026-05-03 08:10:11,,Paris - Champs-Elysees,FR,PROD-032,Apparel & Fashion,3,106.15,Cash,REG-02,EMP-104
POS-50002,2025-11-18 10:36:46,MEM-332,Paris - Champs-Elysees,FR,PROD-012,Apparel & Fashion,3,71.76,Card,REG-02,EMP-120
POS-50003,2026-03-18 21:52:23,MEM-338,Paris - Champs-Elysees,FR,PROD-083,Home & Living,4,205.22,Card,REG-03,EMP-107
POS-50004,2026-05-18 06:33:13,MEM-139,Berlin - Mitte,DE,PROD-044,Books & Media,4,26.62,Card,REG-06,EMP-103
POS-50005,2026-09-10 19:07:24,MEM-138,Toronto - Downtown,CA,PROD-031,Consumer Electronics,4,226.21,Cash,REG-02,EMP-106
POS-50006,2026-05-12 17:03:59,MEM-246,New York - 5th Ave,US,PROD-056,Consumer Electronics,1,662.88,Card,REG-06,EMP-106
POS-50007,2025-10-24 02:41:14,,Sydney - George St,AU,PROD-075,Sporting Goods,1,235.04,Cash,REG-01,EMP-119
POS-50008,2026-06-02 22:25:40,MEM-282,Mumbai - Bandra,IN,PROD-005,Sporting Goods,4,30.54,Cash,REG-04,EMP-105
POS-50009,2025-11-13 04:39:03,MEM-394,Paris - Champs-Elysees,FR,PROD-062,Apparel & Fashion,3,25.03,Card,REG-04,EMP-101
POS-50010,2026-04-30 10:31:10,MEM-134,London - Oxford St,UK,PROD-060,Sporting Goods,4,177.1,Card,REG-03,EMP-114
POS-50011,2026-09-10 05:41:53,MEM-247,Paris - Champs-Elysees,FR,PROD-058,Home & Living,1,88.12,Contactless,REG-06,EMP-122
POS-50012,2026-03-14 23:56:43,MEM-369,Berlin - Mitte,DE,PROD-082,Apparel & Fashion,4,35.29,Contactless,REG-04,EMP-105
POS-50013,2025-10-26 18:03:08,MEM-289,Sydney - George St,AU,PROD-041,Consumer Electronics,4,341.13,Cash,REG-04,EMP-107
POS-50014,2026-03-16 17:42:05,MEM-298,Mumbai - Bandra,IN,PROD-088,Home & Living,2,224.52,Contactless,REG-02,EMP-129
POS-50015,2026-05-18 03:20:39,MEM-387,London - Oxford St,UK,PROD-052,Apparel & Fashion,4,79.69,Contactless,REG-01,EMP-127
POS-50016,2026-08-27 16:02:45,MEM-307,New York - 5th Ave,US,PROD-036,Consumer Electronics,4,98.91,Card,REG-03,EMP-101
POS-50017,2026-01-18 17:43:40,,New York - 5th Ave,US,PROD-008,Home & Living,1,129.22,Card,REG-04,EMP-128
POS-50018,2025-11-07 13:03:32,MEM-230,London - Oxford St,UK,PROD-029,Books & Media,3,39.58,Contactless,REG-02,EMP-125
POS-50019,2026-06-28 22:51:32,,Mumbai - Bandra,IN,PROD-049,Books & Media,2,19.35,Contactless,REG-01,EMP-111
POS-50020,2025-11-05 17:37:27,MEM-314,London - Oxford St,UK,PROD-073,Home & Living,3,248.49,Card,REG-04,EMP-129
POS-50021,2026-04-10 05:47:32,MEM-198,London - Oxford St,UK,PROD-067,Apparel & Fashion,-3,86.68,Card,REG-05,EMP-117
POS-50022,2026-05-11 22:13:23,MEM-350,London - Oxford St,UK,PROD-068,Home & Living,3,147.4,Card,REG-02,EMP-110
POS-50023,2026-04-08 17:52:12,MEM-171,Paris - Champs-Elysees,FR,PROD-050,Sporting Goods,4,248.31,Contactless,REG-03,EMP-128
POS-50024,2026-09-02 14:20:39,,London - Oxford St,UK,PROD-094,Books & Media,3,43.81,Contactless,REG-05,EMP-101
